click_par,channel,page_name,create_dt
{"_portal_screenTrace_h5":348},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":440},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":368},home,dispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":507},home,dispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":13410},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":929},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":302},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":523},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":622},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":683},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":626},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":643},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":1319},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":858},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":629},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":490},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":517},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":478},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":363},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":387},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":600},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":582},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":693},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":984},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":491},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":360},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":860},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":539},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":393},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":951},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":546},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":537},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":633},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":956},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":469},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":840},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":810},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":441},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":2953},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":199},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":559},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":541},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":408},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":440},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":657},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":827},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":4188},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":547},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":589},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":628},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":446},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":5973},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":370},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":501},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":496},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":441},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":503},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":498},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":506},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":386},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":417},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":295},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":272},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":692},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":759},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":465},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":436},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":499},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":474},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":823},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":578},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":312},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":381},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":544},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":725},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":293},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":566},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":542},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":675},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":801},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":570},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":502},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":756},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":885},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":445},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":23794},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":721},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":536},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":309},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":353},home,dispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":376},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":657},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":379},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":623},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":566},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":491},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":663},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":416},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":428},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":496},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":302},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":718},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":355},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":324},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":519},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":359},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":587},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":499},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":1070},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":515},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":530},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":769},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":436},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":423},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":232},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":379},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":955},home,orderDispatch_人工调度台,2022-04-19
{"_portal_screenTrace_h5":423},home,resident_人工调度台,2022-04-19
{"_portal_screenTrace_h5":490},home,resident_人工调度台,2022-04-19
