click_par,channel,page_name,create_dt
{"_portal_screenTrace":518},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":419},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":323},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":259},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":478},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace":473},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace":252},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace":181},PC-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace":361},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":683},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":1798},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":505},WECHAT-MP,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":399},WECHAT-MP,resident_人工调度台,2022-05-28
{"_portal_screenTrace":748},WECHAT-MP,resident_人工调度台,2022-05-28
{"_portal_screenTrace":496},WECHAT-MP,resident_人工调度台,2022-05-28
{"_portal_screenTrace":376},MOBILE-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace":476},MOBILE-WEB,dispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":574},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":710},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":440},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":522},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace_map":516},MOBILE-WEB,orderDispatch_人工调度台,2022-05-28
{"_portal_screenTrace":773},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":471},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":577},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":713},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":68},MOBILE-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":521},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":769},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":696},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":585},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":465},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":449},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":442},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":487},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":486},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":523},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":510},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":584},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":539},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":862},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":433},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":543},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":517},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":521},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":13577},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":415},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":538},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":454},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":639},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":526},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":508},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":473},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":507},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":559},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace":223},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":497},PC-WEB,resident_人工调度台,2022-05-28
{"_portal_screenTrace_map":501},PC-WEB,resident_人工调度台,2022-05-28
