click_par,channel,page_name,create_dt
{"_portal_screenTrace_map":345},MOBILE-WEB,dispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":351},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":361},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":130},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":529},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":609},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":514},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":48},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":56},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":38},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":815},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":65},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":84},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":922},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":831},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":48},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":918},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":64},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":63},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":75},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":794},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":50},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":22},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":843},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":757},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":42},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":639},PC-WEB,orderDispatch_人工调度台,2022-05-07
{"_portal_screenTrace_map":594},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":116},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":136},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":112},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":123},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":127},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":133},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":91},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":97},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":62},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":115},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":130},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":92},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":146},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":93},MOBILE-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":32},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace":38},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":550},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":461},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":409},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":487},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":568},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":497},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":436},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":426},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":419},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":358},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":441},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":621},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":646},PC-WEB,resident_人工调度台,2022-05-07
{"_portal_screenTrace_map":414},PC-WEB,resident_人工调度台,2022-05-07
