click_par,channel,page_name,create_dt
{"_portal_screenTrace":401},WECHAT-MP,resident_人工调度台,2022-05-14
{"_portal_screenTrace":401},WECHAT-MP,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":478},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":642},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":115},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":113},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":642},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":837},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":483},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":377},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":630},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":491},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":843},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":569},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":405},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":466},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":478},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":313},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":435},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":649},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":483},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":584},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":521},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":563},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":546},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":123},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":154},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":433},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":420},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":629},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":532},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":490},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":698},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":503},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":383},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":451},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":574},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":452},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":370},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":597},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":508},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":484},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":537},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":748},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":591},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":540},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":337},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":604},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":477},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":603},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":498},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":1424},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":390},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":586},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":643},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":657},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":676},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":500},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":401},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":273},MOBILE-WEB,dispatch_人工调度台,2022-05-14
{"_portal_screenTrace_map":432},PC-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":734},MOBILE-WEB,resident_人工调度台,2022-05-14
{"_portal_screenTrace_map":248},MOBILE-WEB,dispatch_人工调度台,2022-05-14
