click_par,channel,page_name,create_dt
{"_portal_screenTrace":574},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":605},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":615},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":715},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":449},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":608},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":603},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":703},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":611},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":788},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":567},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":573},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":545},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":498},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":612},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":414},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":450},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":516},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":709},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":606},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":566},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":4846},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":951},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":597},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":457},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":670},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":1079},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":574},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":559},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":1649},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":1051},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":654},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":565},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":755},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":456},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":451},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":409},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":735},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":646},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":835},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace_map":346},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":615},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":643},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":625},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":707},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":822},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":628},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":551},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":605},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":52},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":55},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":73},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":71},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":56},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":92},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":51},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":96},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":55},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":51},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":53},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":60},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":72},WECHAT-MP,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":533},PC-WEB,dispatch_人工调度台,2022-04-13
{"_portal_screenTrace":596},WECHAT-MP,dispatch_人工调度台,2022-04-13
