click_par,channel,page_name,create_dt
{"_portal_screenTrace":277},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":211},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":370},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":21},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":373},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":400},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":30},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":48},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":34},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":289},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":23},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":37},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":38},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":35},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":40},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":45},PC-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace_map":185},PC-WEB,dispatch_人工调度台,2022-06-05
{"_portal_screenTrace":32},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":549},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":423},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":537},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace_map":186},PC-WEB,dispatch_人工调度台,2022-06-05
{"_portal_screenTrace_map":205},PC-WEB,dispatch_人工调度台,2022-06-05
{"_portal_screenTrace":313},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace":33},MOBILE-WEB,resident_人工调度台,2022-06-05
{"_portal_screenTrace_map":181},PC-WEB,dispatch_人工调度台,2022-06-05
